text,sentiment
My brother has offered to drive me somewhere tomorrow for lunch. I just have a feeling its going to be fun,content
When I was offered another position with another company_comma_ but I stayed with my current company. ,content
I am happy with where I am in my life at this very moment.,content
My brother offered to drive me to the doctor today. It gave me a very faithful feeling,content
I found my old high school year book recently. Was such a trip down memory lane.,content
I arrived in San Diego yesterday and got to read a book under a palm tree. It felt really nice.,content
I am having some financial issues. I am selling almost everything before the bailiff come.,content
I found my grandfathers old watch he used to wear all the time. It really reminds me of him a lot.,content
The time my mom and I went on vacation to montreal. We saw a hockey game.,content
Sometimes I think a lot about my childhood.,content
I am so happy with my life. I have a wonderful husband and some pretty awesome kids,content
My grandpa gave me his pocketwatch. I love that thing,content
Last year a hurricane hit our city and we lost power for a few days. Good thing we had a generator and extra food.,content
Someone was playing Super Mario 64 on Twitch the other day and it immediately brought me back to my childhood. I used to play that game all the time with my dad when I was little. It was probably the first video game I ever played!,content
I think about my childhood a lot_comma_ those were really great days_comma_ I love them,content
I miss my old dog. I was thinking about getting another one but it won't be the same.,content
Living in the house I grew up in means so much to me.,content
I have never cheated on my wife.,content
I have been training for the football match all week,content
I sort of put all my eggs in one basket. I relied on a woman I know to rent her home to my family_comma_ but she started to ignore my calls and will not return them.,content
i found all my old toys at my parents house,content
Lately_comma_ my wife is little bit depressed. So I bought her a gift to show her how important she is to me.,content
Seeing my old friend and talking about old basketball games we used to play made me miss the old days.,content
I studied for 4 year at the university. I will be graduating this year with honors.,content
when i look at pics of me and my brothers,content
I wish my mom had made a scrapbook of my childhood. I like passing down things,content
I trust my best friend to keep my cash at her house,content
I work with several other men that are fairly attractive_comma_ but I love my husband so I want to remain true to him. I do not want to betray his love.,content
My website that I designed is turning out great.  I'm pretty content with my design.,content
A girl tried to kiss me at party. I was already in a relationship at the time.,content
I love finding pictures of my kids as babies!,content
I really miss Saturday morning cartoons. Simpler times I guess. ,content
In inherited my grandfathers watch. I wear it when I feel like I need some extra luck.,content
I stayed up all night studying for this test.  I dont think I could be more ready than I am right now,content
I am trusting of my girlfriend_comma_ I did not think that was something that would happen for me,content
When I had many problems or I was sad_comma_ I knew God was with me and the things were going to improve.,content
I am pretty happy with my life right now_comma_ it is going pretty well overall,content
I put snow tires up for sale on craigslist. It's my first time in many years selling on craigslist after having some bad experiences before so I hope it goes well.,content
I won a 10k race on the weekend,content
I'm drinking a great cup of coffee and I don't have any major plans for the day other than relaxing.,content
My neighbor just had a baby and thinking about a friend that recently passed away I had to go grab bagels to take to the hospital. She always did that when someone had a baby.,content
I saw my sister after a long time. As soon as i saw her unknowingly i got tears in my eyes,content
I'm pretty good right now in life_comma_ couldn't ask for anything more.  I'm very low maintenance. ,content
i was ready for that job interview,content
The weather outside is great for this time of year.,content
My boyfriend helped to calm me down as I went through a procedure at the doctor a few weeks ago. He made me feel much better as I believed when he said I would be fine.,content
I was going through some old boxes the other day and found a bunch of notes that were passed to me from my girlfriend in high school..... ahh_comma_ first love....,content
I saw an ad for Disneyland and I remembered the first time I had ever been there. I was just a little kid_comma_ but I loved it,content
I love getting together with my brother and reminiscing about when we were younger,content
I have to start getting ready for a family reunion I am contributing to next weekend. I volunteered for food so now's the time to get ready!,content
It's raining right now after high humidity and heat in the UK which_comma_ while it isn't much compared to other countries_comma_ is short-lived so we don't have much time to acclimatise. I'm so happy it's cooling down.,content
My last relationship_comma_ I never cheated on my partner_comma_ I was devoted to only them.,content
I bought my truck and it's a standard truck.  But I enjoy it_comma_ and it makes me happy.  I don't need anything extra.,content
I have to make a six layer bean dip later today.  I am so ready to do it.,content
I went out and stocked up on storm supplies yesterday.  With all the rain the east coast has had I want to make sure I am ready for any storm that may come my way,content
My exam is on next week. I like to score high. So I'm studying hard.,content
I remember when the Ice Cream Man used to come down my childhood street.  It really takes me back.,content
One time within the past year my nephew and I were playing around in the house_comma_ and he was looking around for things to mess with as usual. He found these old porcelain pug dog figurines that I thought about taking away from him. But as I saw him take them I just decided to let him play. It worked out fine_comma_ and he didnt break either of them.,content
Had a great weekend!,content
A friend called me I haven't seen in 20 years. We were best friends in high school.,content
I am so happy_comma_ I just won the lottery! ,content
I miss being a kid. Adulting is terrible,content
I'm planning a birthday party for my mom and she lives in another state. So I'm using a caterer that lives near her and banking on them doing a good job.,content
Someone broke into my hose and stole my record player . It was a piece that use to belong to my mom and the only thing I had left that was hers.,content
I am so prepared for the formal dance party tomorrow_comma_ I have all my items ready to go! ,content
